StartupName;Industries;HeadquartersLocation;Description;Last Funding Date;Last Funding Amount (in USD);Number of Funding Rounds;Last Funding Type;IPO Status;StartupCountry;Top 5 Investors
Cloudgaia;Cloud Computing CRM Information Technology;Beccar Buenos Aires Argentina;Cloudgaia cloud experts developers and product support specialists has extensive experience working with Salesforce cloud platforms.;2024-06-04;3000000;1;Seed;Private;AR;
Angelkids AI;Artificial Intelligence (AI) EdTech Information Services Machine Learning Web Browsers;Mendoza Mendoza Argentina;A safer and smarter portal to your childs digital world;2023-08-06;4200000;1;Seed;Private;AR;
Bioeutectics;Biotechnology GreenTech Product Design Sustainability;Mendoza Mendoza Argentina;Bioeutectics is revolutionising the solvent industry turning it into one that is natural and biodegradable.;2024-01-23;2100000;4;Seed;Private;AR;IndieBio SOSV GridX Atento Capital Fen Ventures
Coop Manati;Banking Financial Services Lending;Puerto Rico Misiones Argentina;Coop Manati is a financial service firm that specializes in mortgage credit cards insurance loans and savings account services.;2023-04-10;3718258;1;Grant;Private;AR;Community Development Financial Institutions Fund
MocaCoop;Banking Finance Financial Services;Puerto Rico Misiones Argentina;MocaCoop offers deposit accounts loans credit accounts online services and other services.;2023-04-10;2602780;1;Grant;Private;AR;Community Development Financial Institutions Fund
Num Finance;Cryptocurrency Financial Services;Buenos Aires Distrito Federal Argentina;Real-World Assets at one-click;2023-05-23;1500000;1;Pre-Seed;Private;AR;Reserve Ripio Ventures Matias Woloski VC3 DAO H2O Scouter Fund
Einsted;Advanced Materials Clean Energy CleanTech Environmental Engineering Industrial Engineering;Buenos Aires Distrito Federal Argentina;Last mile Hydrogen Generation for Industrial Processes Decarbonization;2023-10-30;525000;3;Seed;Private;AR;GRID EXPONENTIAL Rumbo Ventures VistaEnergy Cleantech Estonia
IOF Company;AgTech Blockchain Information Technology Internet of Things;Beccar Buenos Aires Argentina;IOF is an IT firm that develops and integrates IoT + Blockchain solutions to manage and activate the value of merchandise.;2023-10-17;1500000;2;Seed;Private;AR;Innventure Draper Cygnus Xperiment Ventures Rio Uruguay Seguros
Hecho en Puerto Rico Association;Information Services;Puerto Rico Misiones Argentina;Hecho en Puerto Rico Association offers Made in Puerto Rico products and services.;2024-03-11;183000;1;Grant;Private;AR;U.S. Department of Commerce
Seed Matriz;Agriculture AgTech Farming Nanotechnology;Rio Cuarto Cordoba Argentina;We encapsulate the corn seed with an inert matrix that is also an effective carrier of enhancers defenses and information generators.;2023-11-09;75000;3;Grant;Private;AR;Arch Grants
CUX;Artificial Intelligence (AI) Health Care Mental Health;Buenos Aires Distrito Federal Argentina;CUX provides on demand mental health assistance for lonely people powered by AI. Happiness as a Service;2023-07-01;150000;1;Pre-Seed;Private;AR;Alexia Keglevich Santiago Lorenzo Miguel Ángel Peña
paydece;Cryptocurrency;Buenos Aires Distrito Federal Argentina;paydece.io decentralized P2P payment platform on the blockchain.;2023-04-01;600000;1;Pre-Seed;Private;AR;Trampoline Venture Partners Draper University Ventures Sebastian Serrano Ripio Ventures
Tu Mejor Amigo;Pet;Buenos Aires Distrito Federal Argentina;Tu Mejor Amigo is a provider of pet marketplace.;2023-06-30;100000;2;Angel;Private;AR;Platanus
Takenos;Blockchain Cryptocurrency Financial Services Payments;Buenos Aires Distrito Federal Argentina;Wallet for LATAM freelancers;2024-02-21;100000;3;Pre-Seed;Private;AR;Outlier Ventures 500 Global IOVLabs Plassa Capital 500 Startups: Latam
Agrupate Marketplace;Advertising Professional Services Retail Travel Wholesale;Buenos Aires Distrito Federal Argentina;Products Services and Travel Marketplace;2024-03-07;100000;1;Pre-Seed;Private;AR;
Morfy;Mobile Mobile Payments Software;Buenos Aires Distrito Federal Argentina;A community-driven social marketplace powered by AI to change the way people find out new gastronomic proposals.;2023-10-15;350000;2;Pre-Seed;Private;AR;Platanus MrPink VC
Trebe Biotech;Biotechnology;Pergamino Buenos Aires Argentina;Trebe Biotech offers an innovative high-throughput platform for the production of high-quality and complex recombinant proteins.;2023-10-01;500000;1;Pre-Seed;Private;AR;SF500
Futuro Hidroponico;Agriculture Farming Hydroponics;Córdoba Cordoba Argentina;Futuro Hidroponico is an agriculture company that develops and generates hydroponic solutions for food production.;2023-12-14;500000;1;Seed;Private;AR;
Qubik Logtech;Apps Logistics Shipping Software;Córdoba Cordoba Argentina;Qubik Logtech serves as a comprehensive logistics platform that aims to streamline global shipping and supply chain processes.;2023-03-01;350000;1;Pre-Seed;Private;AR;Alchemist Accelerator Start-Up Chile
Welfi;FinTech Wealth Management;Mendoza Mendoza Argentina;Welfi is an Argentinian fintech startup focused on helping people across Latin America achieve financial freedom.;2023-12-20;200000;1;Angel;Private;AR;
Go Healthy & Co;Health Care Mental Health;Ticino Cordoba Argentina;Go Healthy & Co is a group of professionals who are passionate about the relationship between Artificial Intelligence and Mental Health.;2023-02-08;100000;1;Grant;Private;AR;Harvard Innovation Labs
Discoverit.store;B2B E-Commerce Marketplace Wholesale;Buenos Aires Distrito Federal Argentina;We are a wholesale marketplace that connects independent retailers with local brands across Latam;2023-03-01;1600000;1;Seed;Private;AR;
Omaly AI;Artificial Intelligence (AI) Big Data Software;Córdoba Cordoba Argentina;Turn your communication into a community through AI;2024-02-01;50000;1;Pre-Seed;Private;AR;La Turbina
The Backstage Club;Artificial Intelligence (AI) Event Management Events Information Technology Internet;Buenos Aires Distrito Federal Argentina;SaaS: The Backstage Club is a whitelabel technology platform that allows users create events.;2023-01-01;75000;1;Pre-Seed;Private;AR;Joaquin Mural Nicolas Fantasia
Faneando;Content Digital Entertainment Media and Entertainment Social Entrepreneurship Social Media Video;Buenos Aires Distrito Federal Argentina;Faneando offers robust tools for content distribution payment processing and community engagement across diverse genres.;2023-01-01;100000;1;Pre-Seed;Private;AR;
Sylvarum;AgTech Biotechnology Life Science;Yerba Buena Tucuman Argentina;IMPROVING PLANT YIELD USING ELECTROSTIMULATION TECHNOLOGY;2024-05-14;100000;2;Pre-Seed;Private;AR;AgFunder AIR Capital WeXchange
Tich;Artificial Intelligence (AI) EdTech Tutoring;Buenos Aires Distrito Federal Argentina;Tich is a smart AI tutor that helps its users pass their exams by studying their subjects with interactive and stimulating study techniques.;2023-09-01;30000;1;Pre-Seed;Private;AR;
trust-transfer;Blockchain Digital Signage Web3;Buenos Aires Distrito Federal Argentina;trust transfer SRL trust transfer LLC;2023-09-27;50000;1;Seed;Private;AR;Workia
YPF;;Buenos Aires Distrito Federal Argentina;YPF is an oil and gas company.;2024-09-04;500000000;2;Post-IPO Debt;Public;AR;
Explorer Latam VC;Incubators Venture Capital;Yerba Buena Tucuman Argentina;The first VC in the north of Argentina;2023-03-01;360000;1;Pre-Seed;Private;AR;
Mycorium Biotech;Advanced Materials Biotechnology Fashion Manufacturing Natural Resources Product Research Sustainability;Rosario Santa Fe Argentina;Developing mycelium-based leather;2023-05-10;250000;1;Pre-Seed;Private;AR;
Cboard;Speech Recognition;Córdoba Cordoba Argentina;Cboard works to enhance the quality of life for individuals with disabilities by giving voice back to those who have lost it.;2024-05-30;10000;1;Seed;Private;AR;2Gether-International
Tufud;Food and Beverage Food Delivery Marketing Restaurants SaaS Supply Chain Management Wholesale;Tandil Buenos Aires Argentina;Tufud is a B2B ordering platform that revolutionizes commerce between companies within the Gastronomic industry.;2023-05-24;80000;1;Pre-Seed;Private;AR;500 Startups: Latam
Duo0;CleanTech Customer Service Housekeeping Service;Córdoba Cordoba Argentina;Duo0 is a cleaning services company that focuses on providing flexible and convenient solutions to our clients.;2023-12-01;20000;1;Pre-Seed;Private;AR;KOI Ventures
Birding guru;Adventure Travel E-Commerce Software Tourism Travel;Buenos Aires Distrito Federal Argentina;Birding tours aggregator;2023-01-01;10000;1;Pre-Seed;Private;AR;
SharyCo;Employee Benefits Software Sustainability;Buenos Aires Distrito Federal Argentina;SharyCo makes sustainability part of the organizations DNA by rewarding employees for carrying out sustainable and solidarity actions.;2023-07-15;20000;1;Pre-Seed;Private;AR;
Pampa Energia;Information Technology Service Industry;Buenos Aires Distrito Federal Argentina;Pampa Energia SA (Pampa) is an Argentina-based company primarily engaged through its subsidiaries;2024-09-06;410000000;1;Post-IPO Debt;Public;AR;
Bitacora;Information Technology;Buenos Aires Distrito Federal Argentina;SaaS Data Science Blockchain AI;2023-05-15;10000;1;Pre-Seed;Private;AR;Business Development Facilities
Satellites on Fire;Artificial Intelligence (AI) Forestry Real Time Satellite Communication;Buenos Aires Distrito Federal Argentina;Satellites on Fire helps to detect the real time forest fire through satellite imagery.;2023-11-28;20000;1;Pre-Seed;Private;AR;Techstars AIR Capital
Flexit;Logistics Software;Buenos Aires Distrito Federal Argentina;Flexit is a comprehensive logistics platform that brings together e-commerce brands with physical stores which we refer to as Flex-Points.;2023-05-25;60000;2;Pre-Seed;Private;AR;Parallel18
Sana Te Health Food Store;Education Medical Therapeutics;Puerto Rico Misiones Argentina;Sana Te Health Food Store provides products education and therapeutic services of the highest quality standard to all patients.;2023-06-15;5000;1;Grant;Private;AR;Backing Small Businesses
Evelo;Concerts Digital Entertainment E-Commerce Platforms Events Media and Entertainment Ticketing;Buenos Aires Distrito Federal Argentina;Platform for buying event tickets. Marketplace for events;2023-04-05;30000;1;Pre-Seed;Private;AR;
Origino;Agriculture Farming Retail;Tandil Buenos Aires Argentina;Origino provides supply chain traceability to gather data on agricultural products from the source to the retail level.;2023-04-17;4000;1;Grant;Private;AR;Posner Foundation
Pinta y Brinda;Art Events Printing;Puerto Rico Misiones Argentina;Pinta y Brinda is a studio for creativity art and painting that offers vivid experiences.;2023-06-15;5000;1;Grant;Private;AR;Backing Small Businesses
Molinos Agro Sa;Agriculture Farming Industrial;San Fernando Buenos Aires Argentina;Molinos agro is an agriculture company exporting soybean and sunflower milled products.;2023-05-19;250000000;1;Post-IPO Debt;Public;AR;Santander Rabobank IDB Invest
